color;red;green;blue;hex;color_name;lum;hue;sat;lig
Blue;96;130;182;#6082B6;Glaucous;53;216;37;55
Blue;70;130;180;#4682B4;Steel Blue;51;207;44;49
Blue;21;96;189;#1560BD;Denim;43;213;80;41
Blue;83;104;120;#536878;Cadet;40;206;18;40
Blue;0;71;171;#0047AB;Cobalt;36;215;100;34
Blue;15;77;146;#0F4D92;Yale Blue;34;212;81;32
Blue;8;69;126;#08457E;Dark Cerulean;29;209;88;26
Blue;54;69;79;#36454F;Charcoal;26;204;19;26
Blue;59;68;75;#3B444B;Arsenic;26;206;12;26
Blue;0;51;102;#003366;Dark Midnight Blue;23;210;100;20
Blue;0;46;99;#002E63;Cool Black;21;212;100;19
Blue;0;33;71;#002147;Oxford Blue;15;212;100;14
Blue;248;248;255;#F8F8FF;Ghost White;98;240;100;99
Blue;204;204;255;#CCCCFF;Lavender Blue;84;240;100;90
Blue;196;195;208;#C4C3D0;Lavender Gray;78;245;12;79
Blue;146;161;207;#92A1CF;Ceil;66;225;39;69
Blue;140;146;172;#8C92AC;Cool Grey;59;229;16;61
Blue;0;0;255;#0000FF;Blue;44;240;100;50
Blue;42;82;190;#2A52BE;Cerulean Blue;41;224;64;45
Blue;0;47;167;#002FA7;International Klein Blue;32;223;100;33
Blue;0;51;153;#003399;Dark Powder Blue;30;220;100;30
Blue;0;0;156;#00009C;Duke Blue;27;240;100;31
Blue;18;10;143;#120A8F;Ultramarine;25;244;87;30
Blue;0;0;139;#00008B;Dark Blue;24;240;100;27
Blue;0;0;128;#000080;Navy Blue;22;240;100;25
Blue;25;25;112;#191970;Midnight Blue;22;240;64;27
Blue;8;37;103;#082567;Sapphire;21;222;86;22
Blue;0;35;102;#002366;Royal Blue;20;219;100;20
Blue;191;148;228;#BF94E4;Bright Lavender;70;272;60;74
Blue;181;126;220;#B57EDC;Lavender;64;275;57;68
Blue;150;111;214;#966FD6;Dark Pastel Purple;58;263;56;64
Blue;143;0;255;#8F00FF;Violet;53;274;100;50
Blue;115;79;150;#734F96;Dark Lavender;42;270;31;45
Blue;105;53;156;#69359C;Purple Heart;38;270;49;41
Other;209;159;232;#D19FE8;Bright Ube;74;281;61;77
Other;255;0;255;#FF00FF;Magenta;70;300;100;50
Other;203;153;201;#CB99C9;Pastel Violet;70;302;32;70
Other;179;158;181;#B39EB5;Pastel Purple;66;295;13;66
Other;189;51;164;#BD33A4;Byzantine;52;311;58;47
Other;148;0;211;#9400D3;Dark Violet;48;282;100;41
Other;142;69;133;#8E4585;Plum;43;307;35;41
Other;139;0;139;#8B008B;Dark Magenta;39;300;100;27
Other;112;41;99;#702963;Byzantium;32;311;46;30
Other;93;57;84;#5D3954;Dark Byzantium;30;315;24;29
Other;255;240;245;#FFF0F5;Lavender Blush;96;340;100;97
Other;251;204;231;#FBCCE7;Classic Rose;88;326;85;89
Other;244;154;194;#F49AC2;Pastel Magenta;75;333;80;78
Other;207;113;175;#CF71AF;Sky Magenta;62;320;49;63
Other;255;0;127;#FF007F;Bright Pink;60;330;100;50
Other;135;38;87;#872657;Dark Raspberry;35;330;56;34
Other;97;64;81;#614051;Eggplant;31;329;21;32
Other;255;209;220;#FFD1DC;Pastel Pink;88;346;100;91
Other;255;192;203;#FFC0CB;Pink;84;350;100;88
Other;255;183;197;#FFB7C5;Cherry Blossom Pink;82;348;100;86
Other;252;142;172;#FC8EAC;Flamingo Pink;73;344;95;77
Other;231;84;128;#E75480;Dark Pink;59;342;75;62
Other;222;93;131;#DE5D83;Blush;59;342;66;62
Other;222;49;99;#DE3163;Cherry;53;343;72;53
Other;227;11;93;#E30B5D;Raspberry;52;337;91;47
Other;224;17;95;#E0115F;Ruby;51;337;86;47
Other;195;33;72;#C32148;Bright Maroon;45;346;71;45
